sicaklik,enerji
-4.8,230.8
-4.2,226.7
-4.0,216.1
-3.6,220.8
-3.2,190.4
-3.1,204.9
-2.7,212.3
-2.5,199.8
-2.4,193.6
-2.0,188.0
-2.0,188.3
-1.5,165.9
-1.1,203.1
-0.7,178.5
-0.4,156.3
-0.2,172.3
-0.1,160.8
0.6,156.0
0.6,133.6
1.2,150.3
1.2,143.4
1.8,141.5
2.3,135.2
2.3,145.6
2.4,159.2
2.8,134.4
2.9,111.9
3.0,122.6
3.5,127.8
5.4,113.4
5.9,95.8
6.2,99.9
6.6,76.3
6.7,93.1
7.2,80.7
7.2,89.9
7.4,75.9
7.5,103.7
8.0,101.8
8.0,92.6
8.2,67.5
9.3,77.9
9.3,59.6
9.7,69.0
10.0,71.0
10.5,57.7
12.1,62.8
12.3,53.1
12.6,60.0
13.2,36.9
13.9,56.1
14.8,34.1
14.8,38.3
15.6,36.2
15.8,28.5
15.9,44.1
16.0,40.9
16.7,59.0
16.9,49.9
17.5,32.8
18.7,38.6
18.9,16.5
18.9,21.8
19.0,30.6
19.3,62.8
19.5,43.6
19.9,45.7
20.5,30.2
21.5,29.8
22.4,39.4
23.3,37.2
23.3,46.3
23.5,66.4
24.2,49.4
24.2,59.2
24.3,46.6
25.4,45.8
25.8,39.4
25.9,42.3
25.9,35.6
26.0,44.0
26.4,47.2
27.1,57.3
27.3,55.7
27.6,60.9
28.1,69.4
28.3,54.3
29.5,89.5
29.6,61.4
30.5,84.6
30.8,69.0
31.4,88.0
31.9,83.3
32.6,88.8
33.0,87.1
33.0,89.8
33.6,72.5
33.8,101.1
33.8,85.2
34.5,112.5
