yillik_gelir,harcama_puani
16.8,88.3
45.6,40.3
44.7,49.1
87.7,92.7
34.1,81.0
57.5,61.5
26.8,66.7
63.5,44.7
79.9,76.1
23.4,32.2
38.5,50.5
82.9,88.7
74.6,31.4
80.5,67.1
72.5,15.8
25.7,73.1
86.8,76.7
22.1,77.4
27.6,22.9
15.2,77.4
62.6,48.3
30.8,19.3
30.5,77.7
74.2,84.4
96.2,30.1
80.6,20.9
55.6,42.7
52.6,56.2
15.7,21.3
63.9,54.3
46.2,54.0
14.7,22.3
25.4,83.1
53.8,46.1
78.5,85.6
40.7,57.8
26.4,28.6
38.0,27.5
18.6,27.5
64.4,45.5
57.4,44.4
15.1,20.5
26.3,66.3
87.6,34.9
17.6,21.4
84.0,13.5
16.5,21.5
21.7,23.7
23.0,11.1
28.5,27.3
60.4,71.6
35.8,80.0
86.7,1.0
92.4,25.7
84.2,85.5
78.3,10.0
76.6,16.9
20.8,25.6
17.9,24.5
74.9,20.8
73.7,77.8
74.2,84.2
74.3,92.2
76.1,78.0
32.4,26.8
70.1,91.5
30.2,25.7
82.3,82.7
75.4,22.0
30.3,69.7
16.4,64.4
51.1,38.8
88.1,88.1
77.8,95.1
84.4,76.3
24.5,79.6
30.7,69.1
55.7,49.9
78.5,90.7
52.0,42.8
26.6,71.9
12.9,30.7
78.6,76.2
23.4,35.8
38.2,88.1
51.3,39.4
27.8,70.0
83.6,15.0
18.6,73.4
19.4,76.6
80.3,31.1
85.5,83.3
27.1,67.0
84.8,28.1
24.2,20.1
27.2,32.0
23.4,31.5
79.0,83.1
83.6,28.9
27.4,25.0
48.8,56.7
24.8,80.8
30.5,68.8
67.4,48.1
77.8,18.2
52.4,44.0
23.9,77.1
43.9,60.7
28.7,75.4
61.3,46.3
68.7,20.1
83.6,23.1
75.4,22.2
15.8,76.1
17.6,67.5
94.6,88.7
73.4,16.6
58.0,63.8
26.8,76.2
79.9,81.9
26.7,17.3
80.7,82.2
46.4,48.7
83.8,84.3
57.8,52.2
76.7,90.3
41.1,61.8
77.8,82.1
25.5,69.0
76.7,13.1
89.1,86.8
85.7,84.8
11.6,16.6
65.3,33.9
79.1,76.6
20.0,14.8
77.7,15.1
87.4,27.2
26.5,31.4
53.0,43.1
58.0,51.4
76.5,94.8
38.7,43.3
40.3,80.8
85.2,88.0
53.8,55.3
52.8,60.4
29.5,20.3
74.2,75.7
36.1,19.1
45.1,50.2
81.6,78.7
21.0,85.2
84.6,12.8
27.1,77.9
76.1,92.3
21.8,27.1
29.1,76.9
13.7,76.5
75.3,78.3
22.7,74.5
86.1,25.9
73.0,97.1
21.8,21.6
85.8,81.2
24.9,35.3
65.8,18.9
84.8,83.6
28.3,78.4
69.9,70.0
80.1,79.2
80.8,75.0
82.5,11.2
87.6,23.2
15.0,36.0
80.4,21.4
28.8,31.8
55.3,49.2
70.4,9.4
84.3,80.9
81.7,85.4
84.4,6.3
87.9,19.6
49.4,43.9
23.7,81.7
21.1,34.5
26.2,31.8
45.5,49.3
107.0,25.4
14.1,79.4
22.6,70.2
16.9,25.6
18.1,75.1
22.9,22.7
21.2,6.7
35.7,29.3
61.9,51.5
12.7,23.4
82.8,24.4
75.0,81.2
81.5,24.6
43.3,42.4
20.8,23.5
41.8,49.6
66.9,9.9
71.5,76.6
85.3,11.3
53.5,46.0
21.7,27.3
56.6,41.6
11.6,68.2
75.0,20.5
24.0,22.3
26.2,78.3
25.5,24.7
24.8,80.5
42.2,69.3
30.4,22.8
57.7,53.8
79.2,16.5
19.5,78.3
16.3,68.8
59.8,59.6
47.8,48.5
33.0,73.3
15.1,76.8
83.5,15.9
75.9,80.0
88.9,81.9
86.0,15.6
42.3,45.1
76.7,26.3
83.9,26.4
35.3,27.5
84.4,97.3
25.8,30.8
95.0,34.9
18.6,69.3
49.8,46.3
84.8,17.3
71.6,22.5
81.7,72.8
21.5,94.0
75.4,11.3
53.3,53.5
81.3,24.1
34.8,74.5
74.5,18.5
53.5,40.0
11.3,27.3
