calisma_saati,sinav_notu
0.6,29
0.7,33
0.8,29
0.9,36
1.0,22
1.0,31
1.1,39
1.2,31
1.2,34
1.3,32
1.3,32
1.4,23
1.5,49
1.6,38
1.7,28
1.8,33
1.8,39
2.0,36
2.0,23
2.1,38
2.1,33
2.3,37
2.4,38
2.4,52
2.4,44
2.6,41
2.6,29
2.6,36
2.7,42
3.2,47
3.3,40
3.4,45
3.6,34
3.6,44
3.7,40
3.7,45
3.8,39
3.8,55
3.9,57
3.9,52
4.0,38
4.2,39
4.3,47
4.3,51
4.4,50
4.6,45
5.0,55
5.0,50
5.1,56
5.3,45
5.5,59
5.7,49
5.7,52
5.9,53
6.0,57
6.0,49
6.0,59
6.2,70
6.2,65
6.4,56
6.7,62
6.8,59
6.8,53
6.8,50
6.9,67
6.9,78
7.0,69
7.2,61
7.5,62
7.7,68
7.9,67
7.9,73
8.0,85
8.2,75
8.2,81
8.2,73
8.5,73
8.6,67
8.6,71
8.6,69
8.6,71
8.7,73
8.9,78
9.0,78
9.1,80
9.2,85
9.2,75
9.6,95
9.6,78
9.8,90
9.9,80
10.0,89
10.2,86
10.4,87
10.5,85
10.5,87
10.6,74
10.7,91
10.7,81
10.9,95
